lead_id,created_date,industry,company_size,enquiry_type,response_time_hours,number_of_rfqs,converted,data_source
L010761,2025-10-12,Manufacturing,201-1000,Price quote,6.75,3,0,synthetic_demo
L008863,2025-10-12,Construction,1-50,Supplier request,13.56,3,0,synthetic_demo
L010234,2025-10-12,Retail,51-200,Bulk order,16.39,2,1,synthetic_demo
L008266,2025-10-12,Construction,1001+,Product enquiry,18.15,4,0,synthetic_demo
L011127,2025-10-12,Retail,51-200,Bulk order,7.22,1,1,synthetic_demo
L007643,2025-10-12,Retail,1-50,Price quote,8.3,0,0,synthetic_demo
L000218,2025-10-12,Manufacturing,51-200,Supplier request,4.28,1,0,synthetic_demo
L009749,2025-10-13,Technology,201-1000,Supplier request,20.02,3,0,synthetic_demo
L009850,2025-10-13,Manufacturing,1-50,Product enquiry,8.81,2,0,synthetic_demo
L004768,2025-10-13,Healthcare,201-1000,Product enquiry,3.27,2,0,synthetic_demo
L003077,2025-10-13,Retail,51-200,Price quote,12.67,0,0,synthetic_demo
L011261,2025-10-13,Healthcare,201-1000,Product enquiry,4.46,2,0,synthetic_demo
L006782,2025-10-13,Retail,1001+,Bulk order,7.2,1,1,synthetic_demo
L003781,2025-10-13,Manufacturing,1-50,Product enquiry,3.61,2,0,synthetic_demo
L007368,2025-10-13,Technology,1001+,Product enquiry,12.41,3,0,synthetic_demo
L000405,2025-10-13,Construction,1001+,Bulk order,4.67,1,0,synthetic_demo
L001640,2025-10-13,Technology,1-50,Bulk order,7.0,3,0,synthetic_demo
L005071,2025-10-13,Retail,1001+,Price quote,6.75,3,0,synthetic_demo
L005889,2025-10-13,Technology,201-1000,Price quote,31.52,4,0,synthetic_demo
L010663,2025-10-13,Construction,201-1000,Bulk order,3.96,0,0,synthetic_demo
L005930,2025-10-13,Manufacturing,201-1000,Price quote,20.82,3,0,synthetic_demo
L009985,2025-10-13,Healthcare,1-50,Supplier request,8.28,3,0,synthetic_demo
L008471,2025-10-13,Retail,201-1000,Price quote,2.26,4,0,synthetic_demo
L011688,2025-10-13,Manufacturing,51-200,Supplier request,4.72,4,0,synthetic_demo
L010871,2025-10-13,Retail,1001+,Price quote,13.62,1,1,synthetic_demo
L000766,2025-10-13,Manufacturing,1-50,Product enquiry,3.13,1,0,synthetic_demo
L004284,2025-10-13,Manufacturing,51-200,Product enquiry,28.42,2,0,synthetic_demo
L001771,2025-10-13,Healthcare,1001+,Supplier request,9.91,3,0,synthetic_demo
L005761,2025-10-13,Manufacturing,201-1000,Product enquiry,5.32,4,0,synthetic_demo
L000201,2025-10-13,Technology,201-1000,Price quote,22.47,2,0,synthetic_demo
L010802,2025-10-13,Manufacturing,201-1000,Product enquiry,5.08,0,0,synthetic_demo
L003360,2025-10-13,Technology,1-50,Product enquiry,4.94,4,0,synthetic_demo
L001087,2025-10-13,Technology,51-200,Product enquiry,7.4,7,0,synthetic_demo
L000780,2025-10-13,Construction,201-1000,Product enquiry,7.31,2,0,synthetic_demo
L003481,2025-10-13,Retail,1-50,Price quote,1.66,4,0,synthetic_demo
L009469,2025-10-13,Healthcare,201-1000,Price quote,13.88,3,1,synthetic_demo
L010195,2025-10-13,Manufacturing,1-50,Product enquiry,9.31,5,0,synthetic_demo
L008032,2025-10-13,Retail,51-200,Supplier request,12.45,4,1,synthetic_demo
L008681,2025-10-13,Manufacturing,51-200,Supplier request,4.09,5,0,synthetic_demo
L011861,2025-10-13,Construction,1-50,Bulk order,30.15,3,0,synthetic_demo
L005783,2025-10-13,Retail,1-50,Price quote,15.04,5,0,synthetic_demo
L010989,2025-10-14,Manufacturing,51-200,Bulk order,19.7,3,0,synthetic_demo
L009793,2025-10-14,Manufacturing,201-1000,Price quote,0.56,1,1,synthetic_demo
L008838,2025-10-14,Technology,51-200,Bulk order,10.51,0,0,synthetic_demo
L004451,2025-10-14,Technology,201-1000,Bulk order,18.47,2,0,synthetic_demo
L010363,2025-10-14,Manufacturing,1-50,Price quote,10.46,1,1,synthetic_demo
L010282,2025-10-14,Technology,1001+,Bulk order,16.76,0,0,synthetic_demo
L008308,2025-10-14,Technology,1-50,Product enquiry,1.5,1,0,synthetic_demo
L008899,2025-10-14,Retail,201-1000,Price quote,2.13,1,0,synthetic_demo
L000960,2025-10-14,Healthcare,201-1000,Product enquiry,0.81,2,1,synthetic_demo
L008329,2025-10-14,Technology,201-1000,Supplier request,18.33,5,0,synthetic_demo
L003952,2025-10-14,Construction,1-50,Bulk order,5.13,4,1,synthetic_demo
L001738,2025-10-14,Manufacturing,51-200,Bulk order,9.55,2,0,synthetic_demo
L001262,2025-10-14,Retail,1-50,Product enquiry,21.36,2,0,synthetic_demo
L008923,2025-10-14,Manufacturing,51-200,Supplier request,9.25,4,0,synthetic_demo
L011297,2025-10-14,Technology,51-200,Price quote,6.07,4,1,synthetic_demo
L003948,2025-10-14,Manufacturing,1-50,Bulk order,15.92,2,0,synthetic_demo
L008446,2025-10-14,Manufacturing,51-200,Product enquiry,25.25,1,0,synthetic_demo
L007973,2025-10-14,Healthcare,1001+,Supplier request,18.65,5,0,synthetic_demo
L005265,2025-10-14,Retail,201-1000,Bulk order,16.25,1,0,synthetic_demo
L003424,2025-10-14,Retail,1-50,Price quote,8.0,2,1,synthetic_demo
L009207,2025-10-14,Healthcare,1-50,Bulk order,2.14,4,0,synthetic_demo
L003324,2025-10-14,Technology,1-50,Price quote,4.68,5,0,synthetic_demo
L006214,2025-10-14,Healthcare,1-50,Supplier request,21.18,2,0,synthetic_demo
L007494,2025-10-14,Manufacturing,51-200,Bulk order,10.39,5,0,synthetic_demo
L006144,2025-10-14,Healthcare,1-50,Price quote,10.48,0,0,synthetic_demo
L002541,2025-10-14,Healthcare,201-1000,Price quote,6.23,2,0,synthetic_demo
L010838,2025-10-14,Technology,1-50,Product enquiry,24.69,3,1,synthetic_demo
L002734,2025-10-14,Retail,201-1000,Price quote,7.03,5,1,synthetic_demo
L001311,2025-10-14,Retail,51-200,Price quote,14.24,4,0,synthetic_demo
L000874,2025-10-14,Retail,201-1000,Bulk order,6.52,1,0,synthetic_demo
L003035,2025-10-14,Construction,201-1000,Bulk order,14.47,3,1,synthetic_demo
L006005,2025-10-14,Manufacturing,201-1000,Product enquiry,9.8,2,0,synthetic_demo
L009470,2025-10-15,Manufacturing,1-50,Price quote,2.33,1,0,synthetic_demo
L001079,2025-10-15,Healthcare,201-1000,Price quote,19.9,1,0,synthetic_demo
L002651,2025-10-15,Construction,51-200,Bulk order,7.26,4,0,synthetic_demo
L001894,2025-10-15,Manufacturing,51-200,Price quote,9.23,1,0,synthetic_demo
L011484,2025-10-15,Technology,1-50,Supplier request,18.86,1,0,synthetic_demo
L009024,2025-10-15,Retail,201-1000,Supplier request,0.71,5,0,synthetic_demo
L011138,2025-10-15,Construction,1-50,Product enquiry,8.44,0,0,synthetic_demo
L006908,2025-10-15,Technology,1-50,Product enquiry,6.28,3,0,synthetic_demo
L004290,2025-10-15,Healthcare,51-200,Price quote,1.89,3,0,synthetic_demo
L005294,2025-10-15,Technology,1-50,Product enquiry,17.66,2,0,synthetic_demo
L001398,2025-10-15,Construction,51-200,Supplier request,25.35,4,0,synthetic_demo
L010278,2025-10-15,Retail,201-1000,Bulk order,3.58,3,1,synthetic_demo
L007054,2025-10-15,Retail,201-1000,Product enquiry,8.73,0,0,synthetic_demo
L011970,2025-10-15,Retail,1-50,Price quote,3.17,1,1,synthetic_demo
L010005,2025-10-15,Retail,201-1000,Bulk order,7.76,1,0,synthetic_demo
L001980,2025-10-15,Manufacturing,1001+,Price quote,8.62,2,0,synthetic_demo
L001388,2025-10-15,Retail,201-1000,Price quote,19.26,2,0,synthetic_demo
L006997,2025-10-15,Technology,51-200,Product enquiry,6.1,1,0,synthetic_demo
L005697,2025-10-15,Manufacturing,51-200,Product enquiry,3.75,2,1,synthetic_demo
L008828,2025-10-15,Construction,201-1000,Supplier request,4.28,3,0,synthetic_demo
L003893,2025-10-15,Healthcare,51-200,Bulk order,8.49,2,0,synthetic_demo
L003240,2025-10-15,Retail,1-50,Bulk order,12.81,0,0,synthetic_demo
L001603,2025-10-15,Technology,51-200,Price quote,0.51,3,1,synthetic_demo
L000356,2025-10-15,Healthcare,51-200,Product enquiry,2.52,2,1,synthetic_demo
L002381,2025-10-15,Technology,51-200,Bulk order,11.19,2,0,synthetic_demo
L003033,2025-10-15,Manufacturing,1-50,Bulk order,3.51,2,1,synthetic_demo
L000040,2025-10-15,Technology,51-200,Product enquiry,12.8,2,0,synthetic_demo
L001618,2025-10-15,Healthcare,1001+,Price quote,12.13,1,0,synthetic_demo
L000349,2025-10-15,Healthcare,1001+,Product enquiry,14.03,2,0,synthetic_demo
L006681,2025-10-15,Technology,1001+,Product enquiry,16.17,0,0,synthetic_demo
L007363,2025-10-15,Construction,51-200,Product enquiry,18.91,3,0,synthetic_demo
L003001,2025-10-15,Technology,51-200,Bulk order,3.27,4,0,synthetic_demo
L004389,2025-10-15,Technology,201-1000,Supplier request,6.52,5,1,synthetic_demo
L006712,2025-10-15,Construction,51-200,Bulk order,9.51,5,0,synthetic_demo
L007229,2025-10-15,Manufacturing,201-1000,Product enquiry,4.5,4,0,synthetic_demo
L003376,2025-10-15,Retail,51-200,Product enquiry,1.5,1,0,synthetic_demo
L004361,2025-10-15,Manufacturing,1-50,Bulk order,9.17,2,1,synthetic_demo
L000320,2025-10-15,Construction,201-1000,Product enquiry,15.43,1,0,synthetic_demo
L011238,2025-10-15,Technology,201-1000,Price quote,21.93,4,0,synthetic_demo
L007489,2025-10-15,Manufacturing,1-50,Supplier request,18.38,0,0,synthetic_demo
L000679,2025-10-16,Manufacturing,1-50,Product enquiry,26.01,2,0,synthetic_demo
L009607,2025-10-16,Healthcare,51-200,Price quote,15.26,2,0,synthetic_demo
L003031,2025-10-16,Technology,1001+,Price quote,4.58,2,0,synthetic_demo
L011327,2025-10-16,Technology,1001+,Supplier request,15.22,2,0,synthetic_demo
L011151,2025-10-16,Manufacturing,1-50,Bulk order,15.29,2,0,synthetic_demo
L001032,2025-10-16,Technology,51-200,Product enquiry,23.24,0,0,synthetic_demo
L003023,2025-10-16,Retail,201-1000,Price quote,10.28,1,0,synthetic_demo
L009186,2025-10-16,Construction,51-200,Product enquiry,7.08,1,0,synthetic_demo
L011991,2025-10-16,Construction,201-1000,Product enquiry,3.89,4,0,synthetic_demo
L005659,2025-10-16,Manufacturing,1-50,Bulk order,5.68,2,1,synthetic_demo
L010076,2025-10-16,Technology,51-200,Bulk order,11.15,0,0,synthetic_demo
L005655,2025-10-16,Retail,1-50,Price quote,10.68,3,0,synthetic_demo
L011941,2025-10-16,Healthcare,51-200,Supplier request,8.24,0,0,synthetic_demo
L005164,2025-10-16,Retail,1-50,Bulk order,8.92,1,0,synthetic_demo
L004781,2025-10-16,Retail,51-200,Bulk order,4.01,0,0,synthetic_demo
L011181,2025-10-16,Manufacturing,51-200,Product enquiry,13.85,3,0,synthetic_demo
L010115,2025-10-16,Manufacturing,201-1000,Price quote,19.18,4,1,synthetic_demo
L000520,2025-10-16,Technology,1-50,Price quote,33.36,1,0,synthetic_demo
L007876,2025-10-16,Manufacturing,201-1000,Product enquiry,1.95,1,1,synthetic_demo
L004475,2025-10-16,Healthcare,51-200,Bulk order,2.94,2,0,synthetic_demo
L004208,2025-10-16,Manufacturing,51-200,Price quote,18.63,2,0,synthetic_demo
L008671,2025-10-16,Manufacturing,201-1000,Supplier request,7.89,5,1,synthetic_demo
L004756,2025-10-16,Healthcare,51-200,Supplier request,11.48,4,1,synthetic_demo
L011293,2025-10-16,Manufacturing,201-1000,Price quote,1.34,4,0,synthetic_demo
L003222,2025-10-16,Technology,201-1000,Supplier request,10.47,1,0,synthetic_demo
L002373,2025-10-16,Retail,1001+,Supplier request,0.23,3,0,synthetic_demo
L010511,2025-10-16,Healthcare,51-200,Price quote,2.33,4,0,synthetic_demo
L002202,2025-10-16,Construction,1001+,Product enquiry,2.27,0,1,synthetic_demo
L007799,2025-10-16,Retail,51-200,Supplier request,12.07,2,0,synthetic_demo
L006722,2025-10-16,Retail,201-1000,Product enquiry,9.7,5,1,synthetic_demo
L008912,2025-10-16,Healthcare,201-1000,Supplier request,21.01,1,0,synthetic_demo
L006613,2025-10-16,Healthcare,51-200,Price quote,4.99,4,0,synthetic_demo
L010935,2025-10-16,Retail,51-200,Bulk order,4.02,1,0,synthetic_demo
L005222,2025-10-16,Healthcare,51-200,Price quote,11.83,1,0,synthetic_demo
L006759,2025-10-16,Retail,1-50,Supplier request,1.73,5,1,synthetic_demo
L007775,2025-10-16,Technology,1-50,Product enquiry,8.86,4,0,synthetic_demo
L006730,2025-10-16,Healthcare,201-1000,Bulk order,5.26,3,0,synthetic_demo
L005188,2025-10-16,Healthcare,1001+,Product enquiry,5.14,1,0,synthetic_demo
L002529,2025-10-16,Technology,1-50,Supplier request,27.01,4,0,synthetic_demo
L007245,2025-10-17,Retail,51-200,Product enquiry,5.79,3,0,synthetic_demo
L002839,2025-10-17,Retail,51-200,Bulk order,4.93,3,0,synthetic_demo
L007891,2025-10-17,Healthcare,51-200,Bulk order,3.32,1,0,synthetic_demo
L001317,2025-10-17,Healthcare,51-200,Product enquiry,1.79,2,0,synthetic_demo
L006717,2025-10-17,Technology,51-200,Supplier request,10.1,1,0,synthetic_demo
L006686,2025-10-17,Retail,1-50,Product enquiry,15.03,1,0,synthetic_demo
L010785,2025-10-17,Construction,51-200,Bulk order,8.25,5,0,synthetic_demo
L000538,2025-10-17,Manufacturing,51-200,Bulk order,6.57,0,0,synthetic_demo
L003766,2025-10-17,Technology,1-50,Supplier request,28.72,0,0,synthetic_demo
L011974,2025-10-17,Retail,51-200,Product enquiry,20.78,2,0,synthetic_demo
L000566,2025-10-17,Technology,1-50,Product enquiry,16.72,1,0,synthetic_demo
L008037,2025-10-17,Retail,51-200,Bulk order,23.61,0,0,synthetic_demo
L000137,2025-10-17,Construction,51-200,Product enquiry,13.78,2,0,synthetic_demo
L007859,2025-10-17,Technology,1001+,Supplier request,7.75,2,1,synthetic_demo
L001288,2025-10-17,Retail,1001+,Price quote,7.23,6,1,synthetic_demo
L003854,2025-10-17,Retail,51-200,Product enquiry,2.88,2,0,synthetic_demo
L005934,2025-10-17,Manufacturing,1001+,Price quote,25.71,1,1,synthetic_demo
L005499,2025-10-17,Manufacturing,1-50,Product enquiry,2.3,1,0,synthetic_demo
L009429,2025-10-17,Technology,1001+,Supplier request,14.64,0,0,synthetic_demo
L010700,2025-10-17,Technology,1001+,Product enquiry,15.12,2,0,synthetic_demo
L002078,2025-10-17,Manufacturing,51-200,Bulk order,11.76,2,0,synthetic_demo
L002082,2025-10-17,Manufacturing,1-50,Supplier request,18.45,7,0,synthetic_demo
L007931,2025-10-17,Retail,1001+,Product enquiry,5.64,4,1,synthetic_demo
L003379,2025-10-17,Retail,51-200,Price quote,8.16,2,0,synthetic_demo
L006587,2025-10-17,Manufacturing,1-50,Bulk order,1.57,2,0,synthetic_demo
L007991,2025-10-17,Healthcare,51-200,Price quote,7.81,4,0,synthetic_demo
L002794,2025-10-17,Construction,201-1000,Bulk order,8.03,1,0,synthetic_demo
L011782,2025-10-17,Healthcare,1-50,Supplier request,8.09,1,0,synthetic_demo
L006753,2025-10-17,Technology,1001+,Bulk order,6.97,1,0,synthetic_demo
L002683,2025-10-17,Manufacturing,1001+,Price quote,15.55,1,0,synthetic_demo
L001401,2025-10-17,Retail,1-50,Bulk order,6.47,3,0,synthetic_demo
L003672,2025-10-17,Healthcare,1-50,Price quote,13.68,5,0,synthetic_demo
L003438,2025-10-17,Retail,51-200,Bulk order,8.97,2,0,synthetic_demo
L006207,2025-10-17,Retail,201-1000,Supplier request,8.65,0,0,synthetic_demo
L005156,2025-10-17,Manufacturing,51-200,Bulk order,6.5,3,1,synthetic_demo
L005756,2025-10-17,Healthcare,201-1000,Supplier request,4.31,4,0,synthetic_demo
L005896,2025-10-17,Technology,1001+,Bulk order,11.84,3,0,synthetic_demo
L008530,2025-10-18,Manufacturing,1001+,Product enquiry,2.74,3,1,synthetic_demo
L011839,2025-10-18,Healthcare,51-200,Price quote,10.78,3,0,synthetic_demo
L010939,2025-10-18,Retail,201-1000,Bulk order,18.83,0,1,synthetic_demo
L004835,2025-10-18,Retail,201-1000,Price quote,4.66,2,1,synthetic_demo
L000344,2025-10-18,Healthcare,1001+,Price quote,26.08,1,0,synthetic_demo
L002043,2025-10-18,Healthcare,201-1000,Price quote,5.22,2,0,synthetic_demo
L000653,2025-10-18,Technology,1-50,Product enquiry,12.73,3,0,synthetic_demo
L002058,2025-10-18,Retail,51-200,Product enquiry,2.2,1,1,synthetic_demo
L005163,2025-10-18,Manufacturing,51-200,Supplier request,15.51,2,0,synthetic_demo
L008381,2025-10-18,Healthcare,51-200,Product enquiry,8.31,0,0,synthetic_demo
L002125,2025-10-18,Retail,201-1000,Price quote,12.94,1,0,synthetic_demo
L007619,2025-10-18,Technology,1-50,Product enquiry,6.73,2,0,synthetic_demo
L000773,2025-10-18,Healthcare,201-1000,Product enquiry,6.31,3,0,synthetic_demo
L009461,2025-10-18,Construction,1-50,Price quote,10.66,2,1,synthetic_demo
L009776,2025-10-18,Manufacturing,1-50,Product enquiry,19.33,2,0,synthetic_demo
L004234,2025-10-18,Technology,51-200,Price quote,9.89,5,0,synthetic_demo
L000421,2025-10-18,Technology,1-50,Price quote,11.11,1,1,synthetic_demo
L008926,2025-10-18,Retail,1001+,Supplier request,2.41,3,0,synthetic_demo
L010911,2025-10-18,Technology,51-200,Product enquiry,9.07,2,0,synthetic_demo
L009837,2025-10-18,Manufacturing,51-200,Product enquiry,4.89,1,0,synthetic_demo
L009781,2025-10-18,Manufacturing,51-200,Product enquiry,4.73,4,0,synthetic_demo
L009101,2025-10-18,Retail,1-50,Product enquiry,9.33,3,0,synthetic_demo
L002540,2025-10-18,Healthcare,201-1000,Product enquiry,2.98,1,0,synthetic_demo
L010500,2025-10-18,Technology,51-200,Product enquiry,8.68,1,0,synthetic_demo
L003898,2025-10-18,Retail,1-50,Product enquiry,11.09,4,1,synthetic_demo
L005776,2025-10-18,Manufacturing,1-50,Bulk order,2.56,6,0,synthetic_demo
L004514,2025-10-18,Manufacturing,201-1000,Bulk order,3.71,2,0,synthetic_demo
L006468,2025-10-19,Technology,1-50,Price quote,19.79,1,0,synthetic_demo
L010717,2025-10-19,Healthcare,201-1000,Price quote,18.45,1,0,synthetic_demo
L000360,2025-10-19,Healthcare,1001+,Product enquiry,3.74,3,0,synthetic_demo
L004384,2025-10-19,Retail,1-50,Price quote,4.01,2,0,synthetic_demo
L004749,2025-10-19,Construction,201-1000,Price quote,26.14,1,0,synthetic_demo
L003741,2025-10-19,Manufacturing,51-200,Bulk order,13.12,2,0,synthetic_demo
L001597,2025-10-19,Manufacturing,51-200,Supplier request,20.28,2,0,synthetic_demo
L007450,2025-10-19,Retail,1001+,Supplier request,4.76,2,0,synthetic_demo
L001202,2025-10-19,Healthcare,1-50,Price quote,1.2,3,0,synthetic_demo
L009451,2025-10-19,Construction,1-50,Price quote,13.78,1,0,synthetic_demo
L011703,2025-10-19,Manufacturing,51-200,Bulk order,10.52,2,1,synthetic_demo
L004183,2025-10-19,Technology,51-200,Product enquiry,4.73,2,0,synthetic_demo
L006079,2025-10-19,Manufacturing,1-50,Supplier request,8.43,4,0,synthetic_demo
L001864,2025-10-19,Healthcare,51-200,Bulk order,1.5,1,1,synthetic_demo
L011378,2025-10-19,Retail,51-200,Bulk order,1.34,1,1,synthetic_demo
L007527,2025-10-19,Technology,1-50,Bulk order,2.67,4,1,synthetic_demo
L011848,2025-10-19,Healthcare,1-50,Bulk order,11.35,3,0,synthetic_demo
L003013,2025-10-19,Technology,201-1000,Bulk order,7.69,2,0,synthetic_demo
L003120,2025-10-19,Retail,51-200,Price quote,14.01,0,0,synthetic_demo
L009384,2025-10-19,Construction,1-50,Product enquiry,12.7,3,0,synthetic_demo
L010187,2025-10-19,Healthcare,1-50,Bulk order,4.87,1,0,synthetic_demo
L001566,2025-10-19,Retail,201-1000,Bulk order,17.36,0,0,synthetic_demo
L000876,2025-10-19,Construction,51-200,Price quote,16.89,1,0,synthetic_demo
L001982,2025-10-19,Retail,1-50,Supplier request,14.46,4,0,synthetic_demo
L004565,2025-10-19,Manufacturing,1001+,Bulk order,29.72,1,0,synthetic_demo
L000574,2025-10-19,Technology,1-50,Bulk order,4.31,2,0,synthetic_demo
L005131,2025-10-19,Retail,1001+,Supplier request,14.75,0,0,synthetic_demo
L008214,2025-10-19,Healthcare,1001+,Product enquiry,7.05,1,0,synthetic_demo
L001724,2025-10-19,Healthcare,201-1000,Supplier request,13.99,4,1,synthetic_demo
L000572,2025-10-19,Technology,1001+,Product enquiry,0.73,3,0,synthetic_demo
L009435,2025-10-19,Technology,51-200,Product enquiry,16.1,3,0,synthetic_demo
L005557,2025-10-19,Retail,1001+,Price quote,23.53,0,0,synthetic_demo
L002844,2025-10-19,Manufacturing,51-200,Price quote,18.17,2,0,synthetic_demo
L008432,2025-10-20,Manufacturing,1001+,Product enquiry,16.6,3,0,synthetic_demo
L006556,2025-10-20,Retail,201-1000,Supplier request,5.71,2,0,synthetic_demo
L004327,2025-10-20,Manufacturing,51-200,Price quote,12.01,0,0,synthetic_demo
L006455,2025-10-20,Technology,1001+,Price quote,8.61,3,0,synthetic_demo
L007186,2025-10-20,Retail,201-1000,Supplier request,2.98,2,0,synthetic_demo
L006251,2025-10-20,Technology,1-50,Price quote,2.74,2,0,synthetic_demo
L007808,2025-10-20,Retail,201-1000,Price quote,6.47,2,0,synthetic_demo
L008909,2025-10-20,Retail,1-50,Product enquiry,7.94,0,0,synthetic_demo
L004247,2025-10-20,Construction,51-200,Price quote,12.71,2,0,synthetic_demo
L004276,2025-10-20,Manufacturing,1-50,Bulk order,21.0,3,0,synthetic_demo
L000326,2025-10-20,Technology,1-50,Supplier request,9.46,1,0,synthetic_demo
L008937,2025-10-20,Manufacturing,1-50,Product enquiry,6.21,5,0,synthetic_demo
L000732,2025-10-20,Manufacturing,1-50,Price quote,2.43,4,0,synthetic_demo
L009873,2025-10-20,Technology,51-200,Product enquiry,4.91,2,0,synthetic_demo
L002814,2025-10-20,Manufacturing,1-50,Product enquiry,4.37,2,0,synthetic_demo
L002811,2025-10-20,Manufacturing,1001+,Price quote,8.76,1,0,synthetic_demo
L005778,2025-10-20,Healthcare,51-200,Product enquiry,4.8,2,0,synthetic_demo
L002967,2025-10-20,Retail,201-1000,Bulk order,9.61,6,1,synthetic_demo
L011564,2025-10-20,Manufacturing,1-50,Product enquiry,16.16,2,0,synthetic_demo
L009362,2025-10-20,Retail,201-1000,Bulk order,7.08,2,0,synthetic_demo
L001392,2025-10-20,Technology,201-1000,Supplier request,20.08,2,0,synthetic_demo
L004233,2025-10-20,Technology,1-50,Bulk order,14.74,3,1,synthetic_demo
L010396,2025-10-20,Retail,1-50,Price quote,10.71,1,1,synthetic_demo
L001417,2025-10-20,Healthcare,1001+,Bulk order,7.95,2,0,synthetic_demo
L007990,2025-10-20,Construction,51-200,Product enquiry,6.12,3,0,synthetic_demo
L000250,2025-10-20,Retail,51-200,Product enquiry,18.03,2,0,synthetic_demo
L010205,2025-10-20,Technology,1-50,Product enquiry,12.29,1,0,synthetic_demo
L006953,2025-10-20,Manufacturing,1001+,Price quote,12.02,3,1,synthetic_demo
L001324,2025-10-20,Technology,1001+,Product enquiry,1.39,4,1,synthetic_demo
L007631,2025-10-20,Healthcare,201-1000,Price quote,5.51,3,1,synthetic_demo
L002414,2025-10-20,Healthcare,201-1000,Price quote,14.37,2,1,synthetic_demo
L010379,2025-10-20,Healthcare,51-200,Product enquiry,6.74,1,0,synthetic_demo
L002021,2025-10-20,Technology,201-1000,Supplier request,5.03,2,0,synthetic_demo
L003078,2025-10-20,Healthcare,201-1000,Bulk order,10.82,0,1,synthetic_demo
L001016,2025-10-20,Manufacturing,1-50,Supplier request,6.81,0,0,synthetic_demo
L009943,2025-10-20,Technology,51-200,Price quote,6.75,0,0,synthetic_demo
L004886,2025-10-21,Technology,1-50,Supplier request,25.78,6,0,synthetic_demo
L004343,2025-10-21,Healthcare,51-200,Bulk order,7.0,3,0,synthetic_demo
L005712,2025-10-21,Healthcare,51-200,Price quote,6.34,2,0,synthetic_demo
L011272,2025-10-21,Retail,201-1000,Price quote,16.24,1,0,synthetic_demo
L002874,2025-10-21,Manufacturing,51-200,Bulk order,13.04,1,0,synthetic_demo
L000541,2025-10-21,Construction,51-200,Product enquiry,1.7,2,1,synthetic_demo
L002465,2025-10-21,Manufacturing,201-1000,Supplier request,5.51,3,1,synthetic_demo
L011862,2025-10-21,Construction,51-200,Bulk order,12.97,2,0,synthetic_demo
L002149,2025-10-21,Technology,201-1000,Supplier request,16.09,3,0,synthetic_demo
L011605,2025-10-21,Manufacturing,51-200,Bulk order,22.02,3,0,synthetic_demo
L009939,2025-10-21,Technology,1-50,Bulk order,4.75,2,0,synthetic_demo
L007927,2025-10-21,Manufacturing,51-200,Supplier request,12.82,3,0,synthetic_demo
L004503,2025-10-21,Healthcare,1-50,Price quote,8.36,3,0,synthetic_demo
L000036,2025-10-21,Manufacturing,201-1000,Product enquiry,8.77,2,0,synthetic_demo
L000605,2025-10-21,Construction,1-50,Product enquiry,0.65,1,1,synthetic_demo
L001820,2025-10-21,Healthcare,201-1000,Supplier request,15.35,5,0,synthetic_demo
L001119,2025-10-21,Retail,51-200,Product enquiry,0.81,2,1,synthetic_demo
L001188,2025-10-21,Construction,1-50,Supplier request,18.95,4,0,synthetic_demo
L001861,2025-10-21,Healthcare,51-200,Product enquiry,3.76,3,0,synthetic_demo
L006031,2025-10-21,Retail,1-50,Price quote,3.02,3,0,synthetic_demo
L005512,2025-10-21,Healthcare,1-50,Bulk order,17.15,2,0,synthetic_demo
L001173,2025-10-21,Manufacturing,201-1000,Bulk order,3.52,3,0,synthetic_demo
L010286,2025-10-21,Manufacturing,51-200,Price quote,8.44,1,0,synthetic_demo
L003393,2025-10-21,Construction,201-1000,Product enquiry,14.36,5,1,synthetic_demo
L002135,2025-10-21,Healthcare,201-1000,Bulk order,17.43,1,0,synthetic_demo
L008394,2025-10-21,Technology,201-1000,Bulk order,16.5,2,0,synthetic_demo
L000257,2025-10-21,Technology,201-1000,Bulk order,29.79,2,0,synthetic_demo
L003125,2025-10-21,Manufacturing,51-200,Product enquiry,13.07,2,0,synthetic_demo
L001391,2025-10-21,Construction,201-1000,Price quote,11.0,3,0,synthetic_demo
L010870,2025-10-21,Construction,201-1000,Product enquiry,13.52,1,0,synthetic_demo
L003921,2025-10-21,Manufacturing,1-50,Bulk order,13.58,1,1,synthetic_demo
L007906,2025-10-21,Manufacturing,1001+,Product enquiry,9.63,0,0,synthetic_demo
L007225,2025-10-21,Technology,51-200,Product enquiry,9.6,3,0,synthetic_demo
L006339,2025-10-21,Manufacturing,201-1000,Price quote,7.11,0,0,synthetic_demo
L006847,2025-10-22,Manufacturing,201-1000,Product enquiry,13.59,1,0,synthetic_demo
L003982,2025-10-22,Retail,1-50,Bulk order,4.51,6,0,synthetic_demo
L010283,2025-10-22,Retail,51-200,Product enquiry,6.19,3,0,synthetic_demo
L006001,2025-10-22,Retail,1-50,Bulk order,5.88,2,0,synthetic_demo
L007953,2025-10-22,Construction,51-200,Product enquiry,4.23,0,0,synthetic_demo
L009989,2025-10-22,Retail,51-200,Product enquiry,4.15,3,0,synthetic_demo
L004920,2025-10-22,Retail,1-50,Supplier request,4.51,2,0,synthetic_demo
L004015,2025-10-22,Healthcare,51-200,Price quote,16.3,2,0,synthetic_demo
L007420,2025-10-22,Manufacturing,201-1000,Product enquiry,1.27,2,1,synthetic_demo
